######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# title :garnet geochemistry of the Voirons nappe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# author : Jérémy Ragusa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# date : 2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# description : garnet geochemistry (64-125 µm) from QEMScan (SEM-EDS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample,type,confidence,O,Mg,Al,Si,Ca,Cr,Ti,Mn,Fe,Zr,Os,Gd,Dy,Pr,Tm,Tb,Te,Sm,As,Hg,Sb,Cu,C,Ru,Cs,Eu,Co,Lu,La,Cd,Ce,Ga,Ba,Pt,Nd,Zn,V,Yb,I,Rh,Nb,P,Sc,Ge,Th,Y,Pd,U,In,Ni,Hf,Cl,Ir,Au,Se,Mo,Sn,Pr,F,Er,Re,Ho,Ag,Bi,Tl,Sr
JR349,Alm-Prp,"90,35","27,88","5,95","16,45","23,61",0,0,"2,99",0,"32,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"90,32","13,73","8,03","16,63","28,22",0,0,0,0,"30,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"90,13","20,18","3,51","15,44","28,6","3,41",0,0,0,"28,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"89,97","22,7","3,44","14,83","27,06","3,96",0,0,0,"31,71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"90,73","25,24","3,94","14,95","29,1","2,02",0,0,0,"32,81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"89,23","29,24","8,58","11,59","22,35",0,0,0,0,"36,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"88,74","29,75","8,48","15,2","20,23",0,0,0,0,"39,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"90,09","20,84","2,6","17,92","27,29","4,62",0,0,0,"28,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"90,24","23,25","4,44","15,52","28,49","3,5",0,0,0,"42,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"91,08","27,15","3,83","14,79","28,02","2,47",0,0,0,"42,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"90,07","25,56","4,16","16,24","30,46",0,0,0,0,"31,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"90,88","20,5","3,81","15,8","27,85","3,05",0,0,"3,85","40,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"90,25","20,32","3,68","15,55","27,14",0,0,0,0,"32,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp,"90,18","29,35","8,54","20,12","22,93",0,0,0,0,"29,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp-Grs,"90,49","19,14","7,5","18,11","35,45","12,23",0,0,0,"22,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp-Grs,"90,28","21,29","9,93","18,72","31,61","12,65",0,0,0,"21,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp-Grs,"91,19","18,99","8,45","19,77","31,67","9,03",0,0,0,"17,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp-Grs,"90,29","19,65","6,87","19,41","29,72","12,4",0,0,0,"21,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Prp-Grs,"90,25","15,71","4,42","18,88","20,24","13,31",0,0,0,"26,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Sps,"90,73","24,04",0,"12,26","27,51",0,0,0,"13,37","33,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Sps,"90,16","21,09",0,"12,78","28,37","2,04",0,0,"13,83","30,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Sps,"88,05","19,07","2,99","12,75","24,83","4,41",0,0,"15,26","31,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Sps,"89,15","24,42",0,"16,29","23,87",0,0,0,"8,62","30,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Sps,"89,02","17,44",0,"16,71","24,81","3,27",0,0,"9,61","34,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm-Sps,90,"20,97",0,"16,26","23,89",0,0,0,"14,61","35,93",0,"2,58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"91,15","25,26",0,"16,3","29,83","4,56",0,0,"5,81","23,15",0,0,"3,79","3,73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"89,9","24,65","3,64","14,42","27,54","5,63",0,0,"9,93","23,75",0,0,0,0,"3,23","4,14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"89,19","23,15",0,"13,11","25,24",12,0,0,"12,56","28,97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"90,05","24,43",0,"13,66","22,56",0,0,0,"11,25","38,05",0,0,0,0,0,0,"6,95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"89,82","21,41",0,"16,42","25,93",0,0,0,"10,56","41,89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"90,09","24,51",0,"14,88","28,32",0,0,0,"12,43","30,35",0,0,0,0,0,0,0,"4,25","3,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"90,2","21,89",0,"14,23","24,09",0,0,0,"10,24","32,11",0,0,0,"8,5",0,0,0,0,0,"4,01","4,54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"91,35","24,85",0,"17,57","26,04",0,0,0,"12,35","29,46",0,0,0,"3,31",0,0,0,0,0,0,0,"2,81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"89,98","27,12",0,"14,1","32,23","5,2",0,0,"6,98","25,63",0,0,0,0,0,0,0,0,0,0,0,0,"2,23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"89,16","25,56",0,"16,5","26,67","2,2",0,0,"12,58","31,05",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"89,27","19,73",0,"12,75","30,86","2,49",0,0,"14,76","36,82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"90,35","23,63",0,"15,13","24,33",0,0,0,"11,53","37,18",0,0,0,0,0,0,0,"3,81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"89,25","20,72",0,"18,12","23,19","2,46",0,0,"12,53","29,13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,19","4,12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"90,2","22,39",0,"12,46","30,1","4,27",0,0,"9,68","22,49",0,0,0,"9,31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"88,26","20,61",0,"15,09","24,28",0,0,0,"10,95","36,02",0,0,0,0,0,0,"2,86",0,0,0,0,0,0,0,0,0,"14,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"89,2","28,57",0,"12,28","22,56",0,0,0,"13,79","33,86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,96","2,47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"89,37","20,29",0,"13,89","26,16","8,89",0,0,"16,03","29,03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"89,13","24,85",0,"15,28","22,44",0,0,0,11,"39,71",0,0,0,0,0,0,0,0,0,0,0,0,"2,76",0,0,0,0,0,0,"2,84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"88,26","22,69","2,18","16,26","25,86","7,86",0,0,"12,72","26,63",0,0,0,0,0,0,0,0,0,0,0,0,"3,02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"88,9","17,68",0,"17,23","28,34","9,34",0,0,"11,25","23,37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,21",0,0,0,"2,05","2,61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,Alm-Sps,"89,55","23,61","2,67","14,01","25,97",0,0,0,"13,15","38,54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
