######,,,,,,,,,,,,
# title : outcrops of the Voirons Flysch,,,,,,,,,,,,
# author : Jérémy Ragusa,,,,,,,,,,,,
# date : 2018-07-19,,,,,,,,,,,,
# description : location and stratigraphic position of outcrops of the Voirons Flysch,,,,,,,,,,,,
######,,,,,,,,,,,,
name_fr,name_en,lon,lat,ele,flysch,formation,member,status,sector,type,log,comments
Torrent Chez le Merizier,Cjez le Merizier stream,6.397875,46.223532,834.06323199999997,Voirons,Boëge Marl,NA,Paralithostratotype of the Boëge Marl Fm.,Grande-Combe-W,stream,yes,
Torrent Chez Musard,Chez Musard stream,6.411817,46.22422,942.45092799999998,Voirons,Boëge Marl,NA,NA,Grande-Combe-S,stream,no,Slump or fault plane. Marly succession with very thin sandy beds
Torrent Chez Rollin,Chez Rollin stream,6.397234,46.22665,878.76415999999995,Voirons,Boëge Marl,NA,Paralithostratotype of the Boëge Marl Fm.,Grande-Combe-W,stream,yes,
Torrent de Chauffemérande,Chauffemérande stream,6.389323,46.169689,871,Voirons,Boëge Marl,NA,NA,Vouan-E,stream,yes,Previous paralithostratotype (Stuijvenberg1980b)
Torrent de Curseilles (section 1),Curseilles stream (section 1),6.363794,46.20302,1101.5478519999999,Voirons,Voirons Sandstone,NA,Paralithostratotype of the Voirons Sandstone Fm.,Voirons-E,stream,yes,
Torrent de Curseilles (section 2),Curseilles stream (section 2),6.365754,46.202552,1058.048828,Voirons,Voirons Sandstone,NA,Paralithostratotype of the Voirons Sandstone Fm.,Voirons-E,stream,yes,
Torrent de Curseilles (section 3),Curseilles stream (section 3),6.369286,46.201013,1031.372314,Voirons,Vouan Conglomerate,NA,Paralithostratotype of the Voirons Sandstone Fm.,Voirons-E,stream,yes,Conglomeratic bed
Torrent de Curseilles (section 4),Curseilles stream (section 4),6.370958,46.200375,978.98071300000004,Voirons,Voirons Sandstone - Vouan Conglomerate,NA,Paralithostratotype of the Voirons Sandstone Fm.,Voirons-E,stream,yes,Ranged between the 2 waterfalls
Torrent de la Molertaz,Molertaz stream,6.37073,46.183659,748.98706100000004,Voirons,Vouan Conglomerate,NA,NA,Voirons-E,stream,yes,
Torrent de Saxel,Saxel stream,6.398203,46.245584,836.70678699999996,Voirons,Boëge Marl,NA,Lithostratotype of the Boëge Marl Fm.,Grande-Combe-W,stream,yes,Lithostratotype of the Boëge Marl Fm. (Stuijvenberg1980a)
Torrent de Saxel (section aval),Saxel stream (downstream section),6.396252,46.24409,890.54028300000004,Voirons,Boëge Marl,NA,NA,Grande-Combe-W,stream,yes,
Torrent de Supersaxel,Supersaxel stream,6.409271,46.247879,1130.1469729999999,Voirons,Boëge Marl,NA,NA,Grande-Combe-W,stream,yes,
Torrent du Rafort,Rafort stream,6.383716,46.228967,869.63183600000002,Voirons,Vouan Conglomerate,NA,NA,Voirons-E,stream,no,
