############,,,,,,,,
# title: bed and marly interbed thickness of the Voirons Flysch outcrops,,,,,,,,
# author: Jérémy Ragusa and Lina Maria Ospina-Ostios,,,,,,,,
# date: 2016/07/04,,,,,,,,
############,,,,,,,,
Todo: replace values with formation abbrev. in unit column,,,,,,,,
############,,,,,,,,
outcrop,section,thickness,rock,bed,province,index,unit,comment
Saxel inférieure,quarry,20,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,25,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,100,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,25,m,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,30,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,25,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,37,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,3,m,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,4,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,4,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,4,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,4,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,4,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,48,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,2,m,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,48,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,5,m,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,60,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,30,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,20,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,30,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,720,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,215,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,95,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,130,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,2,m,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,50,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,50,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,20,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,25,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,45,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,300,h,,Voirons NW,Saxel-inf,1,
Saxel inférieure,road,45,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,road,40,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,road,45,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,road,35,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,road,5,m,,Voirons NW,Saxel-inf,1,
Saxel inférieure,road,5,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,road,10,g,,Voirons NW,Saxel-inf,1,
